ua,Phase_Shift_1,Phase_Shift_2,Phase_Shift_3,Phase_Shift_4,Phase_Shift_5,Phase_Shift_6,Phase_Shift_7,Phase_Shift_8,Phase_Shift_9,Phase_Shift_10,Phase_Shift_11,Va,Vr
1.823719249,-0.183187392,-0.406421234,-0.569271367,-0.875690109,-1.188273096,-1.570066475,-1.821229491,-2.008179278,-2.15589836,-2.277217793,-2.379462203,-57.94403924,-59.61183231
3.167151485,0.050345537,0.104578843,0.135258326,0.165612126,0.155041647,0.084564241,0.005888399,-0.068465137,-0.136827005,-0.199488447,-0.257109816,27.34422804,159.6918711
1.984168775,-0.144524285,-0.321240371,-0.451029574,-0.69889523,-0.959939397,-1.296241882,-1.531539726,-1.716754377,-1.871202402,-2.004584597,-2.122476662,-27.23507259,268.1271331
2.888498038,-0.118025385,-0.262956154,-0.370221908,-0.577887753,-0.801118433,-1.093559059,-1.298580397,-1.458662466,-1.590498586,-1.702667632,-1.800240594,-97.14424944,-121.9449622
1.750071261,-0.175042835,-0.388518394,-0.544519245,-0.839403912,-1.144070957,-1.527271863,-1.790508804,-1.995109434,-2.163929138,-2.308580619,-2.435672775,-34.11021141,205.7493395
1.580408258,-0.012223552,-0.035671585,-0.062917052,-0.142164037,-0.258423333,-0.437091977,-0.570672664,-0.677029139,-0.765074023,-0.840090494,-0.905378916,5.646815148,41.09825442
2.816857165,-0.056770098,-0.12670718,-0.178785039,-0.280842961,-0.393174176,-0.546097488,-0.658272373,-0.74924918,-0.826680598,-0.894514673,-0.955105277,-2.093544639,109.5964816
3.78159804,-0.059360994,-0.132517369,-0.187028677,-0.293978898,-0.411902673,-0.572763492,-0.691002332,-0.787105522,-0.869116724,-0.941188785,-1.005794184,-18.38090679,279.7764503
3.26498886,-0.102279866,-0.228077068,-0.321460462,-0.503308635,-0.700933512,-0.96423703,-1.152435206,-1.301806909,-1.426648238,-1.534337801,-1.629258058,-96.74910055,74.46691699
2.830791896,-0.107505472,-0.239520555,-0.337234517,-0.526472024,-0.730156879,-0.998071648,-1.187365116,-1.33656971,-1.460750924,-1.567609995,-1.661676547,-56.35347127,164.26356
3.101667458,-0.009824457,-0.023678174,-0.036335937,-0.069405439,-0.120644293,-0.215006485,-0.299309997,-0.374898643,-0.443222341,-0.505503157,-0.56271456,18.02622788,168.574143
2.775125792,2.878658836,2.568032604,2.3527204,1.977091856,1.628422655,1.234467954,0.986194603,0.802520513,0.655706589,0.532845573,0.426857522,66.83458277,257.7164041
1.914356981,-0.193466147,-0.429848613,-0.603161744,-0.932609323,-1.275416405,-1.707234439,-2.001908947,-2.229018044,-2.414646254,-2.572137988,-2.709251943,-87.47719471,80.10900499
2.568652317,-0.12222087,-0.271968763,-0.382339642,-0.594300294,-0.818780929,-1.106362846,-1.303006425,-1.453380723,-1.574937307,-1.67658184,-1.763536768,-64.33910819,-82.34088275
1.730247631,2.828914572,2.460988981,2.207624834,1.769938947,1.368645226,0.918641265,0.636310877,0.428277683,0.262161321,0.123165735,0.003474215,43.48422189,144.3021036
2.017080372,-0.144198301,-0.320386267,-0.44960236,-0.695624644,-0.953079609,-1.281112149,-1.507615416,-1.683999946,-1.829781935,-1.954740778,-2.064475315,-32.28251649,172.8873358
1.80738079,-0.195679813,-0.434426598,-0.608994099,-0.938973068,-1.27865682,-1.700258626,-1.984188677,-2.20078396,-2.376165921,-2.523784902,-2.651427059,-69.47816945,32.96694654
1.488346165,-0.225446632,-0.500145698,-0.700447111,-1.076655131,-1.458712104,-1.926402219,-2.2432399,-2.48844272,-2.689111716,-2.859728817,-3.009134227,-45.41546268,204.4373153
3.897189959,-0.069308187,-0.154683017,-0.218240998,-0.342705594,-0.47940559,-0.664558311,-0.799378637,-0.908010193,-0.99997466,-1.080204387,-1.151642612,-47.42094874,247.6999975
1.956839871,-0.13679202,-0.30389152,-0.426398822,-0.659573581,-0.903710761,-1.215715102,-1.432185343,-1.601466173,-1.741874962,-1.862575405,-1.968813985,-21.72414543,170.6082837
2.549267154,-0.139066484,-0.309636676,-0.435611477,-0.678553142,-0.93806688,-1.275820109,-1.511902351,-1.696425161,-1.848893889,-1.979249627,-2.093315485,-96.12043299,52.54209714
2.946584998,3.130795258,3.109532984,3.087291237,3.021021176,2.913369701,2.721328461,2.558789901,2.419031836,2.296684436,2.187949756,2.090120529,94.83482601,196.6194324
2.537362015,-0.124996866,-0.278119426,-0.390941053,-0.607472172,-0.836529423,-1.129476804,-1.329395676,-1.481986955,-1.605089008,-1.707796845,-1.795436871,-66.13577673,-92.37993825
1.564557196,-0.197215123,-0.43756954,-0.612967196,-0.943460457,-1.282762354,-1.707315112,-1.999880778,-2.228283859,-2.417129738,-2.579256827,-2.722105477,-30.61790746,259.5860838
1.683979388,-0.219281859,-0.48678506,-0.682287207,-1.051205889,-1.428971966,-1.893599737,-2.205165522,-2.442768745,-2.634724354,-2.79585343,-2.935029173,-79.20568538,20.65373257
3.10062452,-0.100156048,-0.223189108,-0.314307972,-0.490917854,-0.681088419,-0.930515141,-1.105245822,-1.241340476,-1.35303083,-1.447661005,-1.529589143,-74.93686892,-103.2947634
3.703720042,3.044045308,2.924005251,2.834903407,2.661383658,2.472906633,2.222426632,2.044319542,1.903793763,1.787048754,1.686921059,1.59913797,75.79523325,173.3915567
2.95442889,-0.086037306,-0.191809243,-0.27026569,-0.422855913,-0.588456613,-0.809230557,-0.967745714,-1.094414094,-1.201106929,-1.293893945,-1.376350973,-25.88667491,245.1338288
3.417349675,2.932346922,2.681865416,2.504581087,2.18643762,1.881947679,1.531707371,1.310193913,1.146834913,1.016875342,0.908662019,0.815763358,63.505858,203.2002503
3.688048098,-0.073959462,-0.164935602,-0.232482371,-0.364035631,-0.50692544,-0.696669939,-0.831239799,-0.93695821,-1.024272449,-1.098616352,-1.163241358,-58.10792643,-69.22309247
3.273056125,-0.070985963,-0.158333839,-0.223232679,-0.3498511,-0.488014043,-0.673532969,-0.80759345,-0.915143918,-1.005967334,-1.085092175,-1.155495577,-21.05234854,195.7863497
0.785180169,-0.213697695,-0.469423093,-0.649121532,-0.959196661,-1.220422571,-1.476604948,-1.631169961,-1.733259359,-1.805505409,-1.862489471,-1.908214934,-3.592892968,10.33087279
1.877202933,-0.174075714,-0.386257956,-0.541127259,-0.832903335,-1.131421084,-1.497562088,-1.739141272,-1.919401074,-2.062285174,-2.179999328,-2.279499296,-54.44942988,-46.34227596
1.16189444,-0.237927296,-0.526844135,-0.736045714,-1.122716295,-1.501690743,-1.944266464,-2.238408074,-2.463890682,-2.645137343,-2.797069011,-2.929238972,-18.50244963,94.92117569
2.020354751,-0.162782841,-0.36161041,-0.507315615,-0.784132675,-1.072134109,-1.43466175,-1.680947675,-1.869799736,-2.023604402,-2.15367284,-2.266493248,-56.81316705,59.74055904
3.86652276,3.023733477,2.879625949,2.773792116,2.571977635,2.361084367,2.096463794,1.919464087,1.786062889,1.67915512,1.590108087,1.513920517,39.67218266,69.19880052
0.368751678,2.635563385,2.030449649,1.605300082,0.875095275,0.305966235,-0.229756839,-0.759986153,-1.208967957,-1.510430392,-1.693519031,-1.846509045,33.62334639,72.60001489
3.266908856,-0.07304381,-0.162928458,-0.229718607,-0.360052962,-0.502327978,-0.693503624,-0.83177733,-0.942799402,-1.036625549,-1.118423742,-1.191253511,-22.72829429,221.6565725
2.829802973,-0.121895274,-0.271590933,-0.38240361,-0.597037542,-0.828056984,-1.13169774,-1.345797676,-1.514079227,-1.653674123,-1.773363162,-1.878323482,-95.81227028,42.02719129
1.686502284,-0.153902145,-0.341136218,-0.477350126,-0.732746811,-0.993181115,-1.315764994,-1.533971593,-1.701447465,-1.838285449,-1.954549485,-2.055854127,-18.46001863,91.01729048
2.906533401,-0.107063362,-0.238605081,-0.33606467,-0.525171846,-0.729443491,-0.999593816,-1.1916277,-1.343737842,-1.470868899,-1.580670617,-1.677649237,-61.51700457,236.8142323
3.910100405,-0.01459209,-0.033231791,-0.04802673,-0.080476009,-0.123115344,-0.194881324,-0.257790897,-0.314776745,-0.367106461,-0.415576345,-0.460763031,19.64553963,212.6457795
2.115125118,-0.143886174,-0.319679609,-0.448575145,-0.693752777,-0.949434149,-1.272018744,-1.491226396,-1.65925594,-1.796077243,-1.911730467,-2.011980606,-44.20563363,57.65252574
1.773893327,-0.212626054,-0.472201902,-0.662192394,-1.021893302,-1.392812655,-1.853585683,-2.164595108,-2.402563636,-2.595511093,-2.757962748,-2.898524296,-90.21098975,6.534976908
1.090929344,-0.231470632,-0.510241386,-0.708607772,-1.059603367,-1.365616869,-1.646020054,-1.780996217,-1.843321378,-1.859719982,-1.849345756,-1.819136131,-17.11373005,-21.40354888
2.984634999,-0.089224496,-0.198920388,-0.280294776,-0.438583302,-0.610399335,-0.839470586,-1.0039102,-1.135272557,-1.245885548,-1.342056692,-1.427503449,-31.57165706,273.8167743
1.746507838,-0.055606251,-0.131453055,-0.196746072,-0.349462608,-0.548449327,-0.846836009,-1.073503678,-1.258726728,-1.416268339,-1.553847016,-1.676359271,17.44209383,295.7531789
2.41061948,2.992025236,2.808512303,2.672888172,2.411016896,2.130836479,1.766334402,1.51242625,1.314625866,1.151594173,1.012467971,0.890869857,86.5509936,272.0919342
1.266794361,0.772047307,0.736643015,0.582493506,0.22178023,-0.173900897,-0.6614359,-0.992054916,-1.251337841,-1.464723902,-1.6459245,-1.804727018,35.20342238,273.121769
1.920712213,0.025258857,0.034916432,0.018730886,-0.069151097,-0.225849247,-0.486958922,-0.692028474,-0.860967094,-1.005036535,-1.131024634,-1.243289286,27.09205931,279.0607502
0.927009321,-0.005642953,-0.08574366,-0.20697748,-0.546019959,-0.984173046,-1.56525756,-1.948777111,-2.245986228,-2.496359677,-2.711264458,-2.896989717,20.03657373,224.0819242
2.636872365,-0.101624849,-0.226154136,-0.317962184,-0.494383135,-0.681498402,-0.921977598,-1.087331786,-1.214681456,-1.318509138,-1.406186338,-1.48202735,-36.38641005,22.24405317
3.691485708,-0.085215089,-0.190145987,-0.268209284,-0.420873254,-0.588114469,-0.813712015,-0.977214133,-1.108448092,-1.219179767,-1.315500802,-1.401043143,-82.59397231,259.5350238
3.209684498,0.183745676,0.362601866,0.449839557,0.526090262,0.517938104,0.430634153,0.340013862,0.258449133,0.185823696,0.120752073,0.061930352,30.28115784,125.1968383
3.658270742,-0.049568101,-0.11075204,-0.156477218,-0.246716622,-0.34733525,-0.487042554,-0.591789096,-0.678254992,-0.752961277,-0.819277144,-0.879216448,-1.799633347,266.0885278
1.582464882,-0.22505762,-0.499340532,-0.699407176,-1.075303444,-1.456643145,-1.919520498,-2.227378996,-2.461211001,-2.649247139,-2.806505703,-2.942088921,-65.06013464,35.7171382
2.059363209,2.966404454,2.751978586,2.594182699,2.291692176,1.971636749,1.561134904,1.279150313,1.061316342,0.882659271,0.73074377,0.598351828,80.24684022,264.4400867
1.457011701,-0.236207336,-0.523907373,-0.733491005,-1.125991934,-1.521023447,-1.995110366,-2.309800961,-2.549872955,-2.743357013,-2.905477189,-3.045817652,-52.90697999,86.11185162
2.64410235,-0.129605967,-0.288599777,-0.406060116,-0.632691212,-0.874902,-1.189954997,-1.409611817,-1.580692644,-1.721487552,-1.841341531,-1.945744037,-88.88829846,-32.4574741
3.613381075,-0.080435988,-0.179417461,-0.252963656,-0.396433208,-0.552815303,-0.761936603,-0.911812825,-1.030877051,-1.130373442,-1.216131216,-1.291628066,-65.16077043,37.39601361
2.030535008,-0.144670172,-0.321255671,-0.45050734,-0.695562602,-0.949721946,-1.268406464,-1.483983904,-1.648805065,-1.782804263,-1.895972275,-1.994012501,-37.11401322,61.75551272
2.011906538,-0.102322422,-0.227830984,-0.320559479,-0.499719345,-0.692395395,-0.947399542,-1.129856767,-1.27539501,-1.397763415,-1.503955957,-1.598083124,-5.069963632,160.5622301
3.813633596,-0.075972325,-0.16952327,-0.239121655,-0.375230795,-0.524315821,-0.725296127,-0.870761443,-0.987322675,-1.085491507,-1.170718549,-1.246258317,-64.49288976,149.6418052
3.771306723,3.081486939,3.007215006,2.951454031,2.840614022,2.715584598,2.539854217,2.407365504,2.29824862,2.204581091,2.122161519,2.048411717,67.69340693,118.5668867
2.318546149,2.918816155,2.649314595,2.455103126,2.096370741,1.73862531,1.309453597,1.029116264,0.818280801,0.648093548,0.504732984,0.380484903,77.88997513,299.0943202
2.414381064,-0.119002117,-0.264597102,-0.371622804,-0.576129045,-0.790807551,-1.062581278,-1.246346329,-1.385851714,-1.498089712,-1.591674944,-1.671624246,-43.61576642,-20.68618041
2.794009413,-0.125164668,-0.278908958,-0.392767546,-0.613508633,-0.851605404,-1.165913276,-1.388980369,-1.56548463,-1.712884613,-1.840108681,-1.952410712,-95.44686249,274.9558618
2.403892269,-0.015141978,-0.037571868,-0.05909912,-0.116752048,-0.204154634,-0.354727727,-0.480260816,-0.587662812,-0.681559625,-0.765054946,-0.840298071,15.67198415,157.9462598
2.280677784,-0.146811786,-0.326451294,-0.458531678,-0.711040113,-0.976499614,-1.3140909,-1.544274744,-1.720536273,-1.863549134,-1.983799514,-2.087378281,-70.93394373,-45.14706674
3.222272235,3.024298321,2.880202944,2.773480636,2.566599187,2.343753532,2.051132239,1.845514661,1.684556536,1.551547828,1.437883745,1.338475678,83.06561037,221.9843575
2.656690601,2.945874861,2.709534575,2.539793708,2.228313213,1.921584531,1.560974835,1.330911718,1.161214941,1.026505623,0.914660719,0.818938604,46.95758925,122.2883689
3.388914028,0.088446748,0.183545036,0.237948033,0.298577768,0.304322858,0.243122784,0.167775447,0.095392908,0.028505054,-0.032927384,-0.089468243,32.7527885,169.0767954
1.790612598,2.842486898,2.486166667,2.235876566,1.791005914,1.368036758,0.8775319,0.561829775,0.325515825,0.134682484,-0.026485079,-0.166424361,66.63046331,279.7107291
3.295811781,-0.099557416,-0.221982315,-0.312827841,-0.489589607,-0.681342495,-0.935901462,-1.116865995,-1.259676175,-1.378325068,-1.480047876,-1.569148992,-95.15117296,-81.7253949
