ua,Phase_Shift_1,Phase_Shift_2,Phase_Shift_3,Phase_Shift_4,Phase_Shift_5,Phase_Shift_6,Phase_Shift_7,Phase_Shift_8,Phase_Shift_9,Phase_Shift_10,Phase_Shift_11,Va,Vr
3.195557244,0.232733318,0.595094578,0.714442765,0.750750395,0.674525245,0.50680125,0.366875663,0.249486716,0.148389071,0.059455029,-0.020064216,54.39289514,289.2253035
3.645544633,-0.10193797,-0.08626535,-0.06976753,-0.054891537,-0.065915215,-0.121582408,-0.186447779,-0.250564429,-0.311566844,-0.369022528,-0.423022737,33.85606302,293.7034563
2.368538706,-0.041022787,0.05132425,0.099741577,0.110210932,0.031190952,-0.152791171,-0.312839688,-0.449535046,-0.568326205,-0.673426861,-0.767785459,36.18444292,288.2589536
3.670761582,-0.151678569,-0.213149194,-0.253917319,-0.340506968,-0.442445822,-0.585225489,-0.69057579,-0.775788958,-0.847920958,-0.910785769,-0.966681559,-20.49591055,109.558264
2.990435312,-0.117828399,-0.127670527,-0.130991159,-0.154147246,-0.204573065,-0.30793582,-0.403145352,-0.48918005,-0.567105225,-0.638209848,-0.703567139,21.90025162,237.0040497
2.134021139,-0.022175517,0.087702818,0.136341339,0.127236647,0.019254812,-0.198480621,-0.377702832,-0.527156664,-0.655255817,-0.767560195,-0.867725699,32.6561407,249.4966814
3.910958499,2.943615518,2.811810106,2.718133914,2.532961449,2.332550919,2.075810239,1.90185512,1.769803573,1.66348737,1.574637559,1.498416245,42.63920336,76.89139154
3.123067394,-0.171802119,-0.264310705,-0.328810856,-0.460893776,-0.610836008,-0.814586314,-0.961352206,-1.078197138,-1.175986763,-1.260440224,-1.334972622,-36.30845952,120.7347134
3.018269625,-0.001563348,0.154314268,0.24724012,0.330913744,0.317895944,0.20942482,0.097880524,-0.002463768,-0.091950629,-0.172341708,-0.245229554,40.89052117,239.6356122
3.022343969,-0.093298715,-0.064562899,-0.039167104,-0.011178794,-0.013743855,-0.062788558,-0.122554577,-0.180972854,-0.235640877,-0.28630916,-0.333235622,16.43400054,94.36981666
2.098852654,-0.196287031,-0.325759924,-0.418027469,-0.602251038,-0.806211657,-1.079517289,-1.276201288,-1.433680776,-1.56650511,-1.682105589,-1.784870339,-11.6870774,240.5970812
3.183422551,-0.181728431,-0.289501161,-0.365783101,-0.521029558,-0.696658867,-0.935674699,-1.1085279,-1.246647441,-1.362639163,-1.463109909,-1.552012175,-65.30778146,197.7528205
1.764919468,2.972996775,2.874298653,2.791627704,2.589585651,2.326147432,1.943957247,1.665319846,1.445432643,1.263617747,1.108557677,0.973344813,68.89468829,173.3626277
2.795044661,-0.124481849,-0.14475813,-0.155941165,-0.193428759,-0.257465342,-0.375402125,-0.478708798,-0.569975013,-0.651554296,-0.725337699,-0.792724132,17.02163967,201.7333028
2.952690714,-0.162418576,-0.240331806,-0.293427373,-0.402629383,-0.526299315,-0.692182,-0.809511347,-0.901432643,-0.977250002,-1.041876189,-1.098230465,-18.95179221,38.48312144
0.817187931,-0.446306515,-0.902704891,-1.205182359,-1.706425965,-2.137504011,-2.559231898,-2.762755419,-2.863091043,-2.898233325,-2.883214141,-2.822565611,-25.17783565,-32.1178563
3.383320958,-0.176830305,-0.277158385,-0.347807975,-0.492405318,-0.657044688,-0.882479986,-1.046299616,-1.177566158,-1.287979788,-1.383710714,-1.468464037,-69.10358779,167.312519
1.705965344,2.720125739,2.310493567,2.053025402,1.649165753,1.312227699,0.961558837,0.75290486,0.603913733,0.487941195,0.39303965,0.312792047,20.05304464,44.647101
2.22361562,-0.220081837,-0.384832231,-0.503205737,-0.734946679,-0.983967347,-1.30364551,-1.522480515,-1.690465475,-1.827103401,-1.942260414,-2.041707249,-57.0801973,5.677283277
3.993864332,2.948678118,2.824034057,2.734992515,2.555685199,2.355558807,2.08778809,1.897867652,1.748639259,1.625137193,1.519538752,1.427168474,96.2592185,271.4696419
3.247858541,-0.18488802,-0.297492459,-0.377486289,-0.539968539,-0.723457396,-0.972750286,-1.152596876,-1.295883426,-1.415826577,-1.519360365,-1.610643148,-88.08842692,67.29783108
2.915348883,-0.175511392,-0.273510287,-0.341917518,-0.480360371,-0.634595948,-0.838295814,-0.979973737,-1.089206454,-1.177881227,-1.252242134,-1.316012632,-37.84318776,-23.52090102
2.905832417,3.046820964,3.065276254,3.079895124,3.074642015,3.020361848,2.888153995,2.765007467,2.655910287,2.559261652,2.472908241,2.395057516,52.18307052,72.7096372
2.540620301,2.964990655,2.864342028,2.792474449,2.642187396,2.466023996,2.218475948,2.036569288,1.891053587,1.769482785,1.665034283,1.573492358,49.27611464,90.17759522
2.103344804,-0.232373859,-0.415189316,-0.54693881,-0.80342224,-1.077383026,-1.427772671,-1.667497671,-1.851794359,-2.0020737,-2.129097658,-2.239136863,-62.79533268,30.42074778
1.979147743,0.000412749,0.128144584,0.173751153,0.139150474,-0.000896625,-0.254939056,-0.455665118,-0.620315698,-0.760196608,-0.882158985,-0.990538191,33.12857267,257.9140084
3.621267378,-0.172350083,-0.265846911,-0.331320692,-0.466125818,-0.620667863,-0.833696104,-0.989355844,-1.114505631,-1.219994658,-1.311579505,-1.392730121,-76.19137955,129.7721846
3.023950293,-0.167266227,-0.252561776,-0.311173822,-0.43039434,-0.563234699,-0.736735337,-0.854633125,-0.942920633,-1.012131699,-1.067854537,-1.113431403,-32.52508063,-48.84559956
1.925374905,-0.241305431,-0.436727495,-0.577163025,-0.847447957,-1.131184805,-1.486116121,-1.723366421,-1.902308684,-2.045740407,-2.165037099,-2.266792108,-53.93510348,-21.90539711
2.757248133,-0.189268693,-0.308331848,-0.392960648,-0.563292956,-0.753171383,-1.007374962,-1.188624999,-1.33216877,-1.451996239,-1.555342243,-1.646492854,-46.09813369,175.7258302
1.742885978,-0.269058937,-0.504748967,-0.67499938,-1.001340931,-1.344497679,-1.780887527,-2.081395439,-2.315205501,-2.508486689,-2.67416834,-2.819698457,-60.2442131,279.016733
0.961843074,2.57406369,1.970316979,1.574487494,0.915867356,0.317349959,-0.372213583,-0.821865546,-1.163123507,-1.440841238,-1.676258454,-1.881245951,54.43608177,287.8288595
1.113840158,1.430909077,1.030958133,0.776316435,0.335441421,-0.08381362,-0.580634095,-0.908626574,-1.158590532,-1.362315531,-1.53505413,-1.685398025,28.16103689,165.6422839
1.721296632,-0.29122713,-0.558725715,-0.752378613,-1.121980451,-1.508252,-1.995203264,-2.326616681,-2.581588143,-2.790117418,-2.967073199,-3.121025602,-99.90775125,88.87035952
2.747453218,-0.159825702,-0.233809128,-0.284010218,-0.388148986,-0.5076458,-0.671248093,-0.789997439,-0.885211302,-0.965393556,-1.035029325,-1.096784701,-8.629988261,91.95003079
1.44264873,2.609039028,2.069273456,1.731767027,1.19509516,0.727715992,0.206703898,-0.126273718,-0.376922391,-0.580218805,-0.752365563,-0.902264933,51.37101923,255.2954253
1.326572754,0.198365734,0.35949043,0.316036845,0.085328224,-0.222994819,-0.639839709,-0.9312063,-1.158632014,-1.346653581,-1.507708716,-1.64901339,27.86031005,211.3860969
2.237784574,-0.216876169,-0.376855462,-0.491634421,-0.716525506,-0.958302104,-1.268553993,-1.480710231,-1.643384377,-1.775550752,-1.886816479,-1.982801871,-53.19692277,5.503486221
2.903369393,-0.200486005,-0.336653729,-0.434493591,-0.630980106,-0.850195743,-1.145123075,-1.356591172,-1.524672223,-1.665342864,-1.786874555,-1.894191164,-98.38803226,211.6419401
3.313956954,-0.177440095,-0.278701094,-0.350064852,-0.496051719,-0.662234635,-0.889925883,-1.055665337,-1.188757721,-1.300976369,-1.398515505,-1.485087834,-62.0706943,256.3009835
1.561701339,2.895052237,2.687006396,2.531027918,2.214586608,1.862272092,1.400102998,1.08093073,0.834966221,0.634059809,0.463880784,0.316059939,67.17517063,206.6050153
3.824224954,-0.133663551,-0.166903476,-0.185870648,-0.230214436,-0.286893888,-0.371210408,-0.436344642,-0.490660094,-0.537691664,-0.579440033,-0.617123073,-2.033445579,75.77767657
3.87505481,-0.168414877,-0.255880845,-0.316759154,-0.442781341,-0.588083475,-0.789346581,-0.936880869,-1.055639103,-1.15573452,-1.242566,-1.319400534,-87.3695545,6.270111673
3.332855403,-0.182362614,-0.291113493,-0.368155899,-0.524896849,-0.702086727,-0.942647195,-1.115717757,-1.253088678,-1.367571934,-1.465915579,-1.552177023,-91.98871725,-75.67831074
1.745735469,-0.262352089,-0.48783082,-0.649773434,-0.957637717,-1.275597943,-1.666516378,-1.92358694,-2.114935455,-2.266454533,-2.390971094,-2.495884744,-57.55115398,-52.59522809
2.108626207,-0.243138483,-0.442039428,-0.586188044,-0.867506611,-1.170180317,-1.56304885,-1.837134373,-2.051643499,-2.22950169,-2.382216098,-2.516490618,-82.62506201,275.0868278
2.42582158,-0.214893677,-0.372306103,-0.485708274,-0.710055926,-0.955237455,-1.277456129,-1.503773367,-1.681241528,-1.828346271,-1.954499174,-2.065233611,-69.43758913,158.4696112
3.260551089,-0.18576962,-0.299723501,-0.38075811,-0.545288733,-0.731050518,-0.983446466,-1.165547424,-1.310623829,-1.432049164,-1.536839444,-1.629203882,-94.1901606,43.04081489
2.08451335,-0.232362441,-0.415223933,-0.547106841,-0.804283566,-1.080048445,-1.435554873,-1.681613544,-1.872966736,-2.030759485,-2.165591809,-2.283629517,-57.26951417,157.3783785
1.550460635,-0.19783683,-0.331125196,-0.42824223,-0.627849636,-0.856890807,-1.172833429,-1.403199584,-1.587900732,-1.743307283,-1.878037528,-1.997284573,2.759846427,189.9275525
2.552945236,-0.213368457,-0.368619613,-0.480553286,-0.702672344,-0.946470276,-1.268269983,-1.494863359,-1.672608551,-1.819829302,-1.945906757,-2.056381497,-86.93161553,82.49900835
2.344717588,-0.216837265,-0.376950221,-0.492100751,-0.718669454,-0.96394177,-1.281559018,-1.500660885,-1.669694577,-1.807679054,-1.9242897,-2.02521054,-66.46227009,-10.74564734
2.389696652,2.935014514,2.788923488,2.682498725,2.465936053,2.219535267,1.881596684,1.636813699,1.441954203,1.27914622,1.13892172,1.015547898,95.6243026,293.7396374
1.813212167,-0.249431061,-0.456739804,-0.606077657,-0.893637657,-1.197301364,-1.584128652,-1.850442631,-2.057449147,-2.228371426,-2.374704911,-2.503083363,-44.76658083,206.2100063
3.35902071,2.914294738,2.739682347,2.615095225,2.375941624,2.127197848,1.821635111,1.621255981,1.471789164,1.352595645,1.253510662,1.168740132,47.44016854,106.270011
2.909307788,-0.188071496,-0.305422364,-0.388900215,-0.557601726,-0.746877221,-1.002472146,-1.186307434,-1.332837454,-1.455786826,-1.56228212,-1.656560746,-55.23132614,254.768143
2.158071415,-0.228274043,-0.405047906,-0.532278277,-0.780160142,-1.044778784,-1.381680671,-1.610067109,-1.783751586,-1.923701151,-2.040505426,-2.140356949,-65.15897101,-59.97572173
3.810700774,-0.169233613,-0.257963981,-0.319819013,-0.447763156,-0.595216877,-0.799558432,-0.949572441,-1.070565342,-1.172778595,-1.261668463,-1.340531795,-81.75078184,113.3143312
2.371669956,0.248544491,0.594802914,0.690679079,0.688000796,0.581769214,0.389958591,0.241970096,0.122763482,0.022908311,-0.063119215,-0.138764928,26.60480367,105.1645649
2.040951181,0.005112597,0.139223646,0.188205034,0.157539373,0.019597341,-0.233799415,-0.43517784,-0.600876835,-0.741954082,-0.865168048,-0.974813954,36.60645662,293.8235911
3.064934205,2.858544302,2.606512931,2.429202153,2.105584779,1.78956905,1.420857672,1.185241954,1.010437498,0.870703604,0.753901368,0.65329301,69.34709099,243.1795734
2.586228441,-0.213734979,-0.369584307,-0.482043178,-0.705443179,-0.951139593,-1.27645159,-1.506317234,-1.687145283,-1.837294823,-1.966171687,-2.07933535,-93.41595623,117.0767299
2.503910043,-0.199467814,-0.333795384,-0.429800364,-0.621157606,-0.831966347,-1.110988776,-1.30822529,-1.463677254,-1.593075534,-1.704465289,-1.802581446,-44.10399863,183.8932722
3.661665998,-0.176535016,-0.276493619,-0.346983198,-0.491756834,-0.657589808,-0.886681466,-1.054749324,-1.190402953,-1.305177241,-1.405173825,-1.494070604,-99.16377282,244.4345786
3.767172134,-0.140715204,-0.185185367,-0.213043899,-0.275466559,-0.353340533,-0.469177839,-0.559695759,-0.636115605,-0.703053764,-0.763071656,-0.81773243,2.121668715,255.7950248
1.965128254,2.965764474,2.859523361,2.774901988,2.576437075,2.320307881,1.942824974,1.661686735,1.436303378,1.247677501,1.085231325,0.942413526,98.48093768,298.9164023
1.548606065,-0.255419009,-0.469844365,-0.622340275,-0.9090216,-1.20121578,-1.558192165,-1.794526231,-1.973062484,-2.117081149,-2.237919732,-2.342040711,-25.98035158,58.51548977
2.621446663,-0.160315836,-0.235014696,-0.28570368,-0.390561133,-0.510423158,-0.673814506,-0.791958827,-0.886438006,-0.965832265,-1.034655153,-1.095585415,-7.252265842,79.87103036
2.437992859,2.912636443,2.735715531,2.609605239,2.368352141,2.118923514,1.815249776,1.618090668,1.47219773,1.35664889,1.261185938,1.179984363,29.36394895,50.81416925
3.706971174,-0.154227322,-0.219739528,-0.263736588,-0.357060519,-0.467289825,-0.62333353,-0.740193336,-0.835998232,-0.918096567,-0.990441628,-1.055415504,-19.1976504,281.5249521
2.873978762,2.644988655,2.194860303,1.944790158,1.583907104,1.289357941,0.96890256,0.765989137,0.614289364,0.491954882,0.388910181,0.299592795,49.65680303,186.4006332
1.736755571,2.781533191,2.427103513,2.182189894,1.752148528,1.349907047,0.893459067,0.604605478,0.390205488,0.218353493,0.0742642,-0.050170728,48.78027111,170.8704522
3.683096375,2.972528986,2.883955697,2.82221783,2.694402128,2.546971674,2.342780463,2.193374402,2.073477612,1.972787935,1.885774984,1.809073849,57.82571383,103.5852416
